face_shape,frame_shape,verdict,notes
round,מרובעות,good,זוויות ישרות יוצרות ניגוד לעגלגלות
round,עגולות,bad,מחזק את העגלגלות ולא מוסיף מבנה
round,מלבניות,good,מאריך אופטית את הפנים
square,עגולות,good,מרכך את הזוויות החדות של הלסת
square,אובליות,good,מרכך את הזוויתיות בעדינות
square,מרובעות,bad,"מכפיל את הזוויתיות, נראה כבד מדי"
oval,מרובעות,good,פנים אובליות מתאימות כמעט לכל צורה
oval,גיאומטריות,good,מדגיש את הפרופורציה הטבעית
heart,אביאטור,good,מאזן מצח רחב עם תחתית קלה
heart,עגולות,good,מרכך את קו המצח הרחב
diamond,Cat-Eye,good,מדגיש את קו הגבות ומרכך את הלחיים
diamond,אובליות,good,מאזן עצמות לחיים בולטות
